Estacao	Data	Hora	Precipitacao
82191	25/06/1968	1200	0
82191	26/06/1968	1200	1,8
82191	27/06/1968	1200	2,8
82191	28/06/1968	1200	1,6
82191	29/06/1968	1200	0,4
82191	30/06/1968	1200	0
82191	01/07/1968	1200	4
82191	02/07/1968	1200	0
82191	03/07/1968	1200	5
82191	04/07/1968	1200	0
82191	05/07/1968	1200	0
82191	06/07/1968	1200	0
82191	07/07/1968	1200	2
82191	08/07/1968	1200	3,2
82191	09/07/1968	1200	0,3
82191	10/07/1968	1200	7,4
82191	11/07/1968	1200	4,6
82191	12/07/1968	1200	1,8
82191	13/07/1968	1200	6
82191	14/07/1968	1200	2
82191	15/07/1968	1200	0
82191	16/07/1968	1200	0
82191	17/07/1968	1200	0
82191	18/07/1968	1200	0
82191	19/07/1968	1200	0
82191	20/07/1968	1200	0
82191	21/07/1968	1200	0,4
82191	22/07/1968	1200	0
82191	23/07/1968	1200	0
82191	24/07/1968	1200	1,4
82191	25/07/1968	1200	5
82191	26/07/1968	1200	0
82191	27/07/1968	1200	0,4
82191	28/07/1968	1200	21
82191	29/07/1968	1200	3,2
82191	30/07/1968	1200	11
82191	31/07/1968	1200	0
82191	01/08/1968	1200	0,5
82191	02/08/1968	1200	0
82191	03/08/1968	1200	0
82191	04/08/1968	1200	0
82191	05/08/1968	1200	0
82191	06/08/1968	1200	0
82191	07/08/1968	1200	0
82191	08/08/1968	1200	0,6
82191	09/08/1968	1200	0
82191	10/08/1968	1200	9,4
82191	11/08/1968	1200	0
82191	12/08/1968	1200	0
82191	13/08/1968	1200	0
82191	14/08/1968	1200	0
82191	15/08/1968	1200	0
82191	16/08/1968	1200	4,2
82191	17/08/1968	1200	0,4
82191	18/08/1968	1200	0
82191	19/08/1968	1200	59
82191	20/08/1968	1200	20,9
82191	21/08/1968	1200	0
82191	22/08/1968	1200	15,3
82191	23/08/1968	1200	0,6
82191	24/08/1968	1200	1,8
82191	25/08/1968	1200	0
82191	26/08/1968	1200	0
82191	27/08/1968	1200	0
82191	28/08/1968	1200	2,4
82191	29/08/1968	1200	0
82191	30/08/1968	1200	0
82191	31/08/1968	1200	0
82191	01/09/1968	1200	0
82191	02/09/1968	1200	0
82191	03/09/1968	1200	0
82191	04/09/1968	1200	0
82191	05/09/1968	1200	0,4
82191	06/09/1968	1200	6
82191	07/09/1968	1200	0
82191	08/09/1968	1200	12,6
82191	09/09/1968	1200	4,4
82191	10/09/1968	1200	8,4
82191	11/09/1968	1200	0
82191	12/09/1968	1200	0
82191	13/09/1968	1200	0
82191	14/09/1968	1200	0
82191	15/09/1968	1200	12
82191	16/09/1968	1200	1,8
82191	17/09/1968	1200	0
82191	18/09/1968	1200	1
82191	19/09/1968	1200	5,3
82191	20/09/1968	1200	2
82191	21/09/1968	1200	3
82191	22/09/1968	1200	0
82191	23/09/1968	1200	5,4
82191	24/09/1968	1200	0,4
82191	25/09/1968	1200	16,8
82191	26/09/1968	1200	18,3
82191	27/09/1968	1200	28,2
82191	28/09/1968	1200	0
82191	29/09/1968	1200	0
82191	30/09/1968	1200	0
82191	01/10/1968	1200	0,4
82191	02/10/1968	1200	0
82191	03/10/1968	1200	0
82191	04/10/1968	1200	2,1
82191	05/10/1968	1200	0
